OID,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
,4004,,No,UNIVERSITY,4004,,Beef Cattle Center Equip Storage,1993,01,7771 Raymond Stotzer Pw STE 4004,College Station,77843,Beef Cattle Center Equip Storage |  | 4004,55.466910195778695,189.475674505287486
,4003,,No,UNIVERSITY,4003,,Beef Cattle Center Feed Mill,1993,01,7771 Raymond Stotzer Pw STE 4003,College Station,77843,Beef Cattle Center Feed Mill |  | 4003,79.239776881244580,371.535609953730670
,4016,,No,UNIVERSITY,4016,,Farrowing/Nursery,1997,01,7767 Raymond Stotzer Pw,College Station,77843,Farrowing/Nursery |  | 4016,57.473370061474739,165.237097482437406
,4012,,No,UNIVERSITY,4012,,Sheep Feeding,1997,01,,College Station,77843,Sheep Feeding |  | 4012,93.867001972177519,517.156642073453440
,4010,,No,UNIVERSITY,4010,,Nutrition/Physiology Center,1997,01,7763 Raymond Stotzer Pw,College Station,77843,Nutrition/Physiology Center |  | 4010,190.361067970817800,1577.120066043767793
,4014,,No,UNIVERSITY,4014,,Cattle Processing,1997,01,,College Station,77843,Cattle Processing |  | 4014,41.448899183304988,98.088289497205949
,4015,,No,UNIVERSITY,4015,,Interdisciplinary Barn,1997,01,,College Station,77843,Interdisciplinary Barn |  | 4015,124.343645487240764,903.546808547520413
,4013,,No,UNIVERSITY,4013,,Cattle Feeding,1997,01,,College Station,77843,Cattle Feeding |  | 4013,163.337161573371162,1159.000698870186625
,4017,,No,UNIVERSITY,4017,,Compost Shed,1997,01,,College Station,77843,Compost Shed |  | 4017,90.210849346071441,463.668709890962873
,4025,,No,UNIVERSITY,4025,,Thomsen Animal Euthenics Center,1997,01,7735 Raymond Stotzer Pw,College Station,77843,Thomsen Animal Euthenics Center |  | 4025,125.770787116165465,467.378135082179483
,4021,,No,UNIVERSITY,4021,,Livestock Housing,1997,01,7733 Raymond Stotzer Pw,College Station,77843,Livestock Housing |  | 4021,146.178643869461411,649.971178474585031
